year,level_1,value
2017,Total Population,5612253
2017,Resident Population,3965796
2017,Singapore Citizen Population,3439177
2017,Permanent Resident Population,526619
2017,Non-resident Population,1646457
2017,Natural Increase,18710
2018,Total Population,5638676
2018,Resident Population,3994283
2018,Singapore Citizen Population,3471936
2018,Permanent Resident Population,522347
2018,Non-resident Population,1644393
2018,Natural Increase,17757
